clean_text,corrected_final,true_label
"Keep an eye on the Haryana Rajya Sabha election. Would be quite something if it quietly turns into another “Himachal's Singhvi moment” for Congress. After all, Haryana has its own history of “Galti se mistake.”",Neutral,Neutral
"Why hasn't Modi 3.0 revised the history curriculum, which appears to be propaganda? When will the mandarins in the education ministry awaken from seven decades of slumber? Hindus will not remain silent in the face of this injustice.",Negative,Negative
"Yes, this video is edited/manipulated. It's spliced clips from Indian Parliament sessions (Sansad TV), but no credible Indian media or records show any MP saying Modi is ""worthless"" for ""kneeling to America"" while praising Khamenei. The audio/translation appears dubbed to push a narrative amid current Iran events. Real footage repurposed.",Neutral,Neutral
"This numbers are crap.. If you want to play number game, ask BJP why didn’t they have not done census yet in this many years? If reality comes out Hindus start to cry all over country, and start to find rathole. And forget WB, it’s total gone case as that guy said in the video.",Negative,Negative
"Modi ji’s childhood now sounds less like a biography and more like a Marvel origin story. • Sold tea ☕ • Served soldiers in 1965 🇮🇳 • Raised a baby crocodile 🐊 • Traveled to ashrams 🧘 • RSS pracharak 📿 • Cleaned & cooked at RSS office 🍲 • Used digital camera in 1987-88 📷 • Emailed black & white photo before the internet era 💻 • Suggested clouds could hide jets ☁️✈️ • Said ancient India had genetic science 🧬 • And apparently made a robot in school 🤖 At this rate, the next update will be: NASA once consulted young Modi ji before launching rockets. 🚀😅",Negative,Negative
Pro bjp? Emaina statements ichinda I support bjp ani?,Neutral,Neutral
"Wherever the BJP is ruling the situation is the same. Worst roads, farmers suicides, rapes, atrocities on Dalits and Minorities, corruption . Still they are winning the elections.",Negative,Negative
Assam Pradesh Congress Committee president Gaurav Gogoi expressed disappointment over the poor condition of Zubeen Khetra and promised that it would be rebuilt within three months if Congress forms the government in the state.,Negative,Neutral
"Bjp government will not provide justice, because victim is from general caste..",Negative,Negative
Equally there should be no Jews in congress either …..,Negative,Negative
It would be poetic justice if he would have voted for Modi.,Neutral,Neutral
"Trinamool Congress walks out of Rajya Sabha for the day in protest against EC’s decision to replace West Bengal chief secretary and principal secretary, home and hill affairs.",Neutral,Neutral
"So he meant that if Indian bound ships passes through Hormuz, it is not because of govt, it will be because of non bjp voters and supporters. Chullu bhar paani mein doob maro andh bhakto.",Neutral,Negative
AAP never fails to entertain They have reduced themselves to clowns in circus,Negative,Negative
"MCC is in place and all posters are to be removed, but it's unfortunate that PM Modi's cutout have been deliberately torn like this. Let us ask who can do this, who's most upset of him coming to Kolkata ?? This low grade politics BJP will atleast never do anywhere.",Negative,Negative
Do you know that BJP wants to setup or have already set missionary cells in Mizoram?,Neutral,Neutral
Sach me yar sach me kya BJP ke pass ye mudde rahte h or log murkh ban jate h,Neutral,Negative
"105-139-50 BJP-TMC-Others BJP already fixed Election just like Indian team fixed T20WC BJP win will make Non Bengali Men impregnate Bengali Women & slowly wipe out whole Bengali race. Bihari Muslims are not under adjudication, on Bengali muslims",Neutral,Negative
"The bottom line is Iran couldn't stop Indian Ship. BJP paid back 4300000000000 ruees back to Iran, which previous govt had put burden on our country.",Negative,Neutral
"Actually, the pResident, Rubio, Hegeseth, and the rest of the traitors in the administration, Congress, and the Intelligence Agencies, should be arrested for that crime. They've all sold out their country on behalf of a foreign, quite evil country, Israel.",Negative,Negative
MIGA is already taken by Indian PM Modi during his USA visit. Please find something thing else for Iran,Neutral,Neutral
Woahh chill bro .. BJP is not in the game itself in TN.. Adhuku aprom dan winning dream la😂,Negative,Neutral
"Its for my Kshatriye community :- I didnt expected him to behave like a political clown..stop fantacising him as your leader.. He could be better Administrator among All states.. But he always exposes him under the Mark of Kshatriye Dignity. He never stood for Kshatriye community and will never. He destoyed on ground kshatriye comm Political ecosystem or Bjp is destroying Our Community Ecosyatem Under his name and fame.. He is that that banyan tree under which no Kshatriya power can grow. AND FOR those Honda Sher' kshatriyas.. How can you have Hindutv r Hindu Rashtra without kshatriye ecosystem..? Kshatriyas could be the only Political backbone for Hindu Political System . Rest every Section of society are opportunist and power grabbers working for their own community disguising Themselves under Hindutva.. “यह मेरे क्षत्रिय समुदाय के लिए है:” मुझे उससे ऐसी जोकर जैसी राजनीतिक हरकतों की उम्मीद नहीं थी। उसे अपना नेता मानकर उसकी कल्पना करना बंद करें। वह सभी राज्यों में एक बेहतर प्रशासक हो सकता था, लेकिन वह हमेशा खुद को क्षत्रिय गरिमा के नाम पर बेनकाब कर देता है। वह कभी भी क्षत्रिय समुदाय के लिए खड़ा नहीं हुआ और न ही कभी होगा। उसने ज़मीनी स्तर पर क्षत्रिय समुदाय के राजनीतिक इकोसिस्टम को नष्ट कर दिया है, या फिर उसके नाम और प्रसिद्धि के सहारे भाजपा हमारे समुदाय के इकोसिस्टम को खत्म कर रही है। वह वही बरगद का पेड़ है जिसके नीचे कोई भी क्षत्रिय शक्ति पनप नहीं सकती। और उन “होंडा शेर” क्षत्रियों से भी एक सवाल है—क्षत्रिय इकोसिस्टम के बिना हिंदुत्व या हिंदू राष्ट्र कैसे हो सकता है? हिंदू राजनीतिक व्यवस्था की असली राजनीतिक रीढ़ केवल क्षत्रिय ही हो सकते हैं। बाकी समाज के अधिकांश वर्ग अवसरवादी और सत्ता हथियाने वाले हैं, जो हिंदुत्व के नाम पर अपने-अपने समुदाय के लिए काम कर रहे हैं।”**",Negative,Negative
"It's u & ur ilk who started this war. Remember that ur allies have killed 1000s of innocent babies in Gaza, Lebanon, & now Iran. Those lives seem to mean nothing to u. As a father, u know the pain when ur own child is sick or hurt. Why does that empathy stop at ur doorstep?",Negative,Negative
"For the notice of Andh Bhakts, Cheer leader of Modi. Booked Gas on Friday 13th March 2026. I have received a disappearing message with booking details & OTP. On enquiry it is said that gas will be delivered in 45 days. This is practical. Don't get misled by BJP IT cell.",Neutral,Negative
Bjp has left PK only to keep check on CBN. Once CBN is decimated PK party will be phagocytocised by BJP. knows that. And being Ideological enemy he vl never join hands with Bjp 👍,Neutral,Neutral
Narendra Modi remains obsessed with optics while basic economic indicators falter under his watch. Manmohan Singh focused on structural reforms that lifted millions out of poverty instead of chasing cheap photo ops at commercial buildings like a local leader.,Negative,Negative
The 25 Amendment was written for this exact situation. All Congress has to do is grow a pair.,Neutral,Neutral
As a north Indian don't understand the logic of non bongs especially from regions which r traditionally bjp bastions voting momota?can u explain?is it fear or something else? BCOS as I understand these r 90 pct businessmen,Negative,Neutral
That's the usual thing right and many of them don't even vote.,Negative,Neutral
It's either way 😁 We citizens have learnt the lesson. Congress should try to lie better 🥺,Neutral,Negative
BjP so called Hindu party provides luxury to be alive. That’s it. Thank bjp to be alive.,Positive,Negative
"Each day this Modi guy pictures himself as more idiot than his former self. Someone should tell him. In international relations there are no friends, it is just your interests and the position you take. All the public displays of affection with Israel has a price to be paid for.",Negative,Negative
"Is running fake news on his front page - Times of India publishing unverified front-page claims that Iran would officially allow Indian ships through the Strait of Hormuz, based on a Modi-Raisi phone call. Pathetic …",Negative,Negative
Opposition so weak that BJP decided to be work as both Opposition and ruling party at once.,Negative,Negative
"Where did he mention that this is not because of Modi and India's foreign policy, but happened because Pappu supported Iran to appease Muslims for votebank?",Negative,Negative
He'll not do anything...rest assured. Everything will remain the same...or go even worse...,Negative,Negative
Sorry all fixed already that's one of the reasons why modi is Compromised.,Negative,Negative
Biharis are not bengali voters. EVM will be manipulated to inflate BJP votes,Negative,Negative
Conservatives are some the dumbest people on this earth,Negative,Negative
"A nation once respected as the architect of the Non aligned Movement, Nehru was a giant. Modi, what's he?",Neutral,Negative
"SHAMEonBJP jee unable to Change FM who is in Mission of Penalizing all Tax payers, further Discouraging TAXATION OR Atleast AbolishIncomeTax to get rid of these issues once for ever COST/EFFORT spent on Income Tax is much higher than actual tax collected",Negative,Negative
BJP will lose in WB And will lose in TN Also in Keralam 💯%,Negative,Negative
This will explain why he likes a specific community.,Neutral,Neutral
And what was BJP worker searching in other lady' bra??,Neutral,Negative
"As West Asia conflict deepens, India leads BRICS talks while securing fertiliser supply via NaMo App",Neutral,Neutral
Ever wondered why Sunil Grover– who has mimicked everyone from S.S. Rajamouli to Kader Khan– has never tried mimicking Modi? Here's the reason:,Neutral,Neutral
Their religion itself is 2000 years old and our Trishul is 10000 years old!! This is the depth of Sanatan Har Har Mahadev 🔱🙏🏻,Neutral,Positive
"This manipulated fake video is disgusting — cut-paste job with dubbed lies to trash Modi. No such speech happened! Quit spreading propaganda trash, fact-check or delete. Pissed off!",Negative,Negative
The power given to Congress to raise taxes and spend funds.,Neutral,Neutral
